Event Parameter Name,ARRAY Sub-parameter Name,Parameter Description,Parameter Size,Parameter Type,Logical value,Literal value,Parameter Resolution,Parameter Unit,Deprecated Since
EVENT_PARAM_PER_RB_QCI,,Radio Bearer QCI,2,UINT,,,1.0,,
EVENT_PARAM_PER_SCELL_DL_MAC_DELAY,,"Aggregated time for the downlink delay measure in the MAC layer. One sample per MAC SDU. The time for each sample is between reception of a packet RLC PDU until the packet is received by the UE or HARQ failure on this MAC SDU. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",7,LONG,,,1.0,ms,
EVENT_PARAM_PER_SCELL_MAC_DTX_DL_16QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with 16QAM, where DTX is considered the reason for no reception of HARQ in uplink in the eNB. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",7,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_DL_256QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with 256QAM where DTX is considered the reason for no reception of HARQ in uplink in the eNB. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",7,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_DL_64QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with 64QAM where DTX is considered the reason for no reception of HARQ in uplink in the eNB. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",7,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_DL_QPSK,,"The total number of occasions when an downlink HARQ feedback was not received from an UE for a Transport Block with QPSK and DTX is considered the reason. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",7,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_16QAM,,"The total number of occasions when an downlink HARQ feedback was not received from an UE for a Transport Block with 16QAM and DTX is considered the reason.
Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",8,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_256QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission of a transport block using 256QAM modulation in the uplink direction, where DTX is considered the reason for no reception of HARQ in uplink in the eNB.
Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",8,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_64QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission of a transport block using 64QAM modulation in the uplink direction, where DTX is considered the reason for no reception of HARQ in uplink in the eNB.
Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",8,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_QPSK,,"The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with QPSK, where DTX is considered the reason for no reception of HARQ in uplink in the eNB.
Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",8,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_SKIPULDYN,,"The number of DTX-occasions in the uplink when skipUplinkTxDynamic is considered the reason for no reception in the eNB. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",5,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_SKIPULDYN_VOLTE,,"Number of DTX-occasions in the uplink when skipUplinkTxDynamic causes no reception in eNodeB and the UE has a bearer mapped to a QCI with serviceType of VoIP. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",5,LONG,,,1.0,,20.Q4
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_SKIPULPRESCHD,,"The number of DTX-occasions in the uplink when the UE has a prescheduling grant and skipUplinkTxDynamic is considered the reason for no reception in the eNB. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",5,LONG,,,1.0,,
EVENT_PARAM_PER_SCELL_MAC_DTX_UL_SKIPULPRESCHD_VOLTE,,"Number of DTX-occasions in the uplink when the UE has a prescheduling grant, skipUplinkTxDynamic causes no reception in eNodeB, and the UE has a bearer mapped to a QCI with serviceType of VoIP. Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",5,LONG,,,1.0,,20.Q4
EVENT_PARAM_PER_SCELL_SCHED_ACTIVITY_UE_DL,,"The sum of the contributions from each UE in the cell of the number of ms where SRB/DRB data has been scheduled in the DL for secondary component carrier traffic (aka SCell), i.e. the UE has another cell as its primary component carrier (PCell).",7,LONG,,,1.0,ms,
EVENT_PARAM_PER_SCELL_SCHED_ACTIVITY_UE_UL,,"The sum of the contributions from each UE in the cell of the number of ms where SRB/DRB data has been scheduled in the UL. 
Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",4,UINT,,,1.0,ms,
EVENT_PARAM_PER_SCHED_ACTIVITY_CELL_DL,,The aggregated number of 1ms where DRB data has been scheduled in the DL,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_SCHED_ACTIVITY_CELL_UL,,The aggregated number of ms where DRB data has been scheduled in the UL,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_SCHED_ACTIVITY_UE_DL,,The sum of the contributions from each UE in the cell of the number of ms where SRB/DRB data has been scheduled in the DL.  Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_SCHED_ACTIVITY_UE_UL,,The sum of the contributions from each UE in the cell of the number of ms where SRB/DRB data has been scheduled in the UL.   Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_SCHED_ACTIVITY_UE_ULCOMP,,Total number of contributions in ms from each UE in cell where SRB or DRB data is scheduled in Uplink Coordinated Multi-Point Reception.,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_SCHED_ACTIVITY_UE_UL_SHORTSPS,,The sum of the contributions from each UE in the cell of the number of ms where SRB/DRB data has been scheduled in the UL using short-SPS (semi-persistent scheduling).,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_UE_CQI2_SUBBAND0,,Accumulated sum of all sub-band 0 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND1,,Accumulated sum of all sub-band 1 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND10,,Accumulated sum of all sub-band 10 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND11,,Accumulated sum of all sub-band 11 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND12,,Accumulated sum of all sub-band 12 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND2,,Accumulated sum of all sub-band 2 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND3,,Accumulated sum of all sub-band 3 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND4,,Accumulated sum of all sub-band 4 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND5,,Accumulated sum of all sub-band 5 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND6,,Accumulated sum of all sub-band 6 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND7,,Accumulated sum of all sub-band 7 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND8,,Accumulated sum of all sub-band 8 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND9,,Accumulated sum of all sub-band 9 CQI reported by UEs in the cell for rank 2 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI2_SUBBAND_SAMP,,Samples count of rank 2 aperiodic CQI reported by UEs in the cell. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND0,,Accumulated sum of all sub-band 0 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND1,,Accumulated sum of all sub-band 1 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND10,,Accumulated sum of all sub-band 10 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND11,,Accumulated sum of all sub-band 11 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND12,,Accumulated sum of all sub-band 12 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND2,,Accumulated sum of all sub-band 2 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND3,,Accumulated sum of all sub-band 3 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND4,,Accumulated sum of all sub-band 4 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND5,,Accumulated sum of all sub-band 5 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND6,,Accumulated sum of all sub-band 6 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND7,,Accumulated sum of all sub-band 7 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND8,,Accumulated sum of all sub-band 8 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND9,,Accumulated sum of all sub-band 9 CQI reported by UEs in the cell for rank 1 transmissions. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_CQI_SUBBAND_SAMP,,Samples count of rank 1 aperiodic CQI reported by UEs in the cell. The counter is defined according to 3GPP 32.425.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_DL_MAC_DELAY,,Aggregated time for the downlink delay measure in the MAC layer. One sample per MAC SDU. The time for each sample is between reception of a packet RLC PDU until the packet is received by the UE or HARQ failure on this MAC SDU. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_UE_MAC_DTX_DL_16QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with 16QAM, where DTX is considered the reason for no reception of HARQ in uplink in the eNB. Only the Primary Component Carrier traffic contribution (aka PCell) is included.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_DL_256QAM,,The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with 256QAM where DTX is considered the reason for no reception of HARQ in uplink in the eNB. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_DL_64QAM,,The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with 64QAM where DTX is considered the reason for no reception of HARQ in uplink in the eNB. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_DL_QPSK,,The total number of occasions when an downlink HARQ feedback was not received from an UE for a Transport Block with QPSK and DTX is considered the reason. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_UL_16QAM,,"The total number of occasions when an downlink HARQ feedback was not received from an UE for a Transport Block with 16QAM and DTX is considered the reason.
Only the Primary Component Carrier traffic contribution (aka PCell) is included.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_UL_256QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission of a transport block using 256QAM modulation in the uplink direction, where DTX is considered the reason for no reception of HARQ in uplink in the eNB.
Only the Primary Component Carrier traffic contribution (aka PCell) is included.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_UL_64QAM,,"The total number of occasions when an uplink grant was meant for HARQ transmission of a transport block using 64QAM modulation in the uplink direction, where DTX is considered the reason for no reception of HARQ in uplink in the eNB.
Only the Primary Component Carrier traffic contribution (aka PCell) is included.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_UL_QPSK,,"The total number of occasions when an uplink grant was meant for HARQ transmission in the uplink direction with QPSK, where DTX is considered the reason for no reception of HARQ in uplink in the eNB.
Only the Primary Component Carrier traffic contribution (aka PCell) is included.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_UL_SKIPULDYN,,The number of DTX-occasions in the uplink when skipUplinkTxDynamic is considered the reason for no reception in the eNB. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_UL_SKIPULDYN_VOLTE,,Number of DTX-occasions in the uplink when skipUplinkTxDynamic causes no reception in eNodeB and the UE has a bearer mapped to a QCI with serviceType VoIP. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,5,LONG,,,1.0,,20.Q4
EVENT_PARAM_PER_UE_MAC_DTX_UL_SKIPULPRESCHD,,The number of DTX-occasions in the uplink when the UE has a prescheduling grant and skipUplinkTxDynamic is considered the reason for no reception in the eNB. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_DTX_UL_SKIPULPRESCHD_VOLTE,,"Number of DTX-occasions in the uplink when the UE has a prescheduling grant, skipUplinkTxDynamic causes no reception in eNodeB, and the UE has a bearer mapped to a QCI with serviceType VoIP. Only the Primary Component Carrier traffic contribution (aka PCell) is included.",5,LONG,,,1.0,,20.Q4
EVENT_PARAM_PER_UE_MAC_DTX_UL_SKIPULTXSPS,,The number of DTX-occasions in the uplink when the UE has a configured semi-persistent scheduling grant for Instant Uplink Access and skipUplinkTxSps is considered the reason for no reception in the eNB. Only the Primary Component Carrier traffic contribution (aka PCell) is included.,4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_TIME_UL_RES_UE,,"Transfer time of restricted UL data volume.
When carrier aggregation is used, MAC SDUs can be transmitted over multiple cells, PCell or SCells. UL MAC transfer time over all carriers is registered on PCell. 
Cat-M UE is excluded.",8,LONG,,,1.0,ms,
EVENT_PARAM_PER_UE_MAC_UL_RES_UE_LAST_TTI_SAMP,,"Number of times data received in the last TTI of a burst.
Includes contributions from SCell traffic if UL CA is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_UL_RES_UE_LATE_SAMP,,"Number of times data received after the last TTI of a burst.
Includes contributions from SCell traffic if UL CA is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_UL_UNRES_UE_BSR_GRANT_SAMP,,"Number of times sent using one grant given by the eNB to empty the UE buffer.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_UL_UNRES_UE_PREEMPT_GRANT_SAMP,,"Number of times sent using one pre-emptive grant given by the eNB to anticipate the need of the UE to send a PUCCH SR.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_UL_UNRES_UE_PUCCH_SR_GRANT_SAMP,,"Number of times sent using one grant given by the eNB to answer a PUCCH SR. 
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",4,UINT,,,1.0,,
EVENT_PARAM_PER_UE_MAC_VOL_UL_RES_UE,,"Data volume in MAC SDUs successfully received in UL as part of a burst while following apply:
- Restricted by air interface.
- Excludes data volume received in the last TTI in the burst.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",8,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_MAC_VOL_UL_RES_UE_LAST_TTI,,"Data volume in MAC SDUs successfully received in UL while following apply:
- Restricted by air interface.
- Received in the last TTI of a burst.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",8,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_MAC_VOL_UL_RES_UE_LATE,,"Data volume in MAC SDUs successfully received in UL while following apply:
- Restricted by air interface.
- Received after the last TTI of a burst.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",8,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_MAC_VOL_UL_UNRES_UE_BSR_GRANT,,"Data volume in MAC SDUs successfully received in UL while following apply:
- Not restricted by air interface. 
- Sent using one grant given by the eNodeB enough to empty UE buffer.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",8,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_MAC_VOL_UL_UNRES_UE_PREEMPT_GRANT,,"Data volume in MAC SDUs successfully received in UL while following apply:
- Not restricted by air interface.
- Sent using one grant given by eNodeB in pre-emptive purpose to anticipate the need of UE to send a PUCCH SR.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",8,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_MAC_VOL_UL_UNRES_UE_PUCCH_SR_GRANT,,"Data volume in MAC SDUs successfully received in UL while following apply:
- Not restricted by air interface.
- Sent using one grant given by eNodeB to answer a PUCCH SR.
Includes contributions from SCell traffic if UL carrier aggregation is active and is only pegged on primary component carrier (PCell) of UE.
Cat-M UE is excluded.",8,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_PDCP_SRB_ACKVOL_DL,,The total volume (PDCP SDU) on Signaling Radio Bearers (SRBs) that has been transmitted and acknowledged in the downlink direction.,5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_PDCP_SRB_RECVOL_UL,,Total SRB volume in UL for PDCP SDUs,5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_PDCP_SRB_TRANSVOL_DL,,Total SRB volume that has been transmitted in the downlink direction in the PDCP layer.,5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_RATE_SHAPE_TIME_UL,,The time where the UE have uplink data in a buffer and rate shaping functionality will prohibit transmission in the uplink. Measured on UE level.,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_UE_RLC_ACK_DL,,The total number of successful RLC PDU transmissions (ACKs) in the downlink direction.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_RLC_ACK_UL,,The total number of successful RLC PDU transmissions (ACKs) in the uplink direction.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_RLC_NACK_DL,,The total number of unsuccessful RLC PDU and RLC PDU segment transmissions (NACKs) in the downlink direction.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_RLC_NACK_UL,,The total number of unsuccessful RLC PDU and RLC PDU segment transmissions (NACKs) in the uplink direction.,5,LONG,,,1.0,,
EVENT_PARAM_PER_UE_RLC_POLL_RETX_DL,,The total number of occurrences when the poll retransmit timer expiry triggers a DL AM PDU retransmission,3,UINT,,,1.0,,
EVENT_PARAM_PER_UE_RLC_POLL_RETX_UL,,The total number of occurrences when an UL AM Data PDU in which Poll flag bit is set and SN is outside of receiving window is received,3,UINT,,,1.0,,
EVENT_PARAM_PER_UE_THP_DL_DRB,,UE throughput calculated for the DL.,3,UINT,,,1.0,kbps,
EVENT_PARAM_PER_UE_THP_MACTIME_DRB_DL,,"Time from when data arrives to at least one PDCP SDU buffer for the UE until all the PDCP buffers and the MAC HARQ buffers containing DRB data for the UE are emptied, either by a successful transmission or by a HARQ failure. Transmissions of UL RLC status PDUs are not counted.",4,UINT,,,1.0,ms,20.Q3
EVENT_PARAM_PER_UE_THP_MACTIME_UL,,The effective UL transport time.,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_UE_THP_MACVOL_DRB_DL,,Transmitted DL MAC volume on all DRBs for a UE. Volume for UL RLC status PDUs is not counted.,5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_THP_MACVOL_UL,,The UL volume used for UL UE Throughput.,5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_THP_MAC_DRB_DL,,UE MAC throughput calculated for the DL: MAC transmitted volume divided by MAC active time.,3,UINT,,,1.0,kbps,18.Q3
EVENT_PARAM_PER_UE_THP_MAC_UL,,UE MAC throughput calculated for the UL.,3,UINT,,,1.0,kbps,
EVENT_PARAM_PER_UE_THP_PDCPTIME_DRB_DL,,The DL PDCP UE time aggregated for all UEs in the cell.,4,UINT,,,1.0,ms,21.Q2
EVENT_PARAM_PER_UE_THP_PDCPVOL_TRUNK_DL,,The downlink PDCP volume is from the last TTI when a buffer is emptied. Measured on UE level.,5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_THP_PDCPVOL_TRUNK_UL,,"Uplink DRB volume used for UL PDCP UE throughput. Measured on MAC layer excluding volume received in first four data receptions of UL buffer transfer and TTI emptying the UL buffer. Only counts PDCP SDU volume with MAC PDU, RLC PDU and PDCP PDU header size removed.",5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_THP_PDCPVOL_TRUNK_UL_INITIAL,,The UL volume used for initial UL UE throughput. It comprises of the MAC SDU volume received on Uu corresponding to the volume received up to the fourth data reception of an uplink buffer transfer and the TTI emptying the uplink buffer.,5,LONG,,,1.0,byte,
EVENT_PARAM_PER_UE_THP_TIME_DL,,The time from when data was first transmitted on Uu until DL buffer is emptied. The last TTI when a buffer is emptied is excluded. Measured on UE level.,4,UINT,,,1.0,ms,
EVENT_PARAM_PER_UE_THP_TIME_DL_XL,,The time from when data was first transmitted on Uu until DL buffer is emptied. The last TTI when a buffer is emptied is excluded. Measured on UE level.,8,LONG,,,1.0,ms,
EVENT_PARAM_PER_UE_THP_TIME_UL,,"The effective UL transport time comprises those periods from when the first part of the PDCP SDU of the UL buffer was received on Uu until the buffer is emptied, excluding the TTI emptying the buffer.",4,UINT,,,1.0,ms,
EVENT_PARAM_PER_UE_THP_TIME_UL_INITIAL,,"The effective UL transport time comprises time periods up to the fourth MAC SDU data reception of an uplink buffer transfer on Uu until the buffer is emptied, including the TTI emptying the buffer.",4,UINT,,,1.0,ms,
EVENT_PARAM_PER_UE_THP_UL_DRB,,UE throughput calculated for the UL.,3,UINT,,,1.0,kbps,
EVENT_PARAM_PER_UE_VOIP_QUALITY_UL_NOK,,"Number of VoIP users that are not considered satisfied in a cell.
A VoIP user is considered satisfied if 99% of total packets sent
in uplink are received within the packet delay budget.

To ensure that enough data exist to make the judgement if a UE is
satisfied or not, at least 1000 packets must be received.
If the ratio of packets that are outside of the packet delay budges is
lower than 50%, an exception to this rule is applied, and the user is
considered unsatisfied.",3,UINT,,,1.0,,
EVENT_PARAM_PER_UE_VOIP_QUALITY_UL_OK,,"Number of VoIP users that are considered satisfied in a cell. A VoIP user is
considered satisfied if 99% of total packets sent in uplink are received within
the packet delay budget.",3,UINT,,,1.0,,
EVENT_PARAM_PER_UL_HEAVY_UE_PCELL_THP_AFTER_HO_SELE,,"Average PCell Throughput of UL heavy UE in target PCell after HO during a detection window, or after SCell re-configuration.",4,UINT,,,1.0,kbps,
EVENT_PARAM_PER_UL_HEAVY_UE_PCELL_THP_BEFORE_HO_SELE,,"Average PCell Throughput of UL heavy UE in source PCell before HO during a detection window, or before SCell re-configuration during a detection window.",4,UINT,,,1.0,kbps,
EVENT_PARAM_PER_UL_HEAVY_UE_REQUIRED_TBS_AFTER_HO,,Average required TBS of UL heavy UE in the target cell after HO during a detection window.,4,UINT,,,1.0,byte,20.Q2
EVENT_PARAM_PER_UL_HEAVY_UE_REQUIRED_TBS_AFTER_HO_SELE,,erage required TBS of UL heavy UE in the target cell before HO or SCell re-configuration during a detection window.,4,UINT,,,1.0,byte,
EVENT_PARAM_PER_UL_HEAVY_UE_REQUIRED_TBS_BEFORE_HO,,Average required TBS of UL heavy UE in the source cell before HO during a detection window.,4,UINT,,,1.0,byte,20.Q2
EVENT_PARAM_PER_UL_HEAVY_UE_REQUIRED_TBS_BEFORE_HO_SELE,,Average required TBS of UL heavy UE in the source cell before HO or SCell re-configuration during a detection window.,4,UINT,,,1.0,byte,
EVENT_PARAM_PER_UL_HEAVY_UE_SCELL_THP_AFTER_SELE,,Average SCell Throughput of UL heavy UE after SCell re-configuration during a detection window.,4,UINT,,,1.0,kbps,
EVENT_PARAM_PER_UL_HEAVY_UE_SCELL_THP_BEFORE_SELE,,Average SCell Throughput of UL heavy UE before SCell re-configuration during a detection window.,4,UINT,,,1.0,kbps,
EVENT_PARAM_PER_UL_HEAVY_UE_THP_AFTER_HO,,Average Throughput of UL heavy UE in the target cell after HO during a detection window.,4,UINT,,,1.0,kbps,20.Q2
EVENT_PARAM_PER_UL_HEAVY_UE_THP_BEFORE_HO,,Average Throughput of UL heavy UE in the source cell before HO during a detection widow.,4,UINT,,,1.0,kbps,20.Q2
EVENT_PARAM_PER_UL_SCELL_ACTIVITY_STATE_AFTER_SELE,,"The UL SCell activation state for UL heavy UE after SCell re-configuration during a detection window. 
Only the secondary component carrier traffic (aka SCell) is included, i.e. the UE has another cell as its primary component carrier (PCell).",4,UINT,,,1.0,,
