PmEvent Name,Event Id,Event Type,Event Description and Trigger,STANDARDIZED or PROPRIETARY,Event Groups,Message Trace Depth (UE Trace),Interface Classification (UE Trace),DeprecatedSince,ReasonForDeprecation,Periodicity (seconds),SupportedBands,SupportedDeployments,License,LimitationReason,EventStatus
CuCpProcNrHoIcExe,3256,UE,"Generated for NR Intra-Cell Handover Execution procedure.
Generated only for intra-cell handovers that are not triggered because of Secondary Node addition or release.
Contains information about request and result.
Intra-cell handover is triggered in following cases:
- DRB ID Exhaustion, after successful execution of PDU Session Resource Modify or PDU Session Resource Setup procedures.
- Security update in NGAP Path Switch Request Acknowledge with NSCI, UE Security Capabilities, or Security Indication IEs.
- Security update in NGAP UE Context Modification Request with UE Security Capabilities, or Security Key IEs.
- Start trigger is transmission of RRC RRCReconfiguration message over F1 interface to UE, indicating attempted intra-cell handover execution.
- Stop trigger for success when NR-DC is not configured is reception of RRC RRCReconfigurationComplete message over F1 interface from UE in target cell.
- All of following options together are the stop trigger for success with NR-DC configured:
  - Reception of RRC RRCReconfigurationComplete message over F1 interface from UE in target cell.
  - Reception of NGAP PDU SESSION RESOURCE MODIFY CONFIRM message from AMF.
  - Sending of XnAP UE CONTEXT RELEASE message to Secondary Node.
- Stop trigger for failure is when timeout or execution fails.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpProcNrHoIcPrep,3255,UE,"Generated for NR Intra-Cell Handover Preparation procedure.
Generated only for intra-cell handovers that are not triggered because of Secondary Node addition or release.
Contains information about request and result.
Intra-cell handover is triggered in following cases:
- DRB ID Exhaustion, after successful execution of PDU Session Resource Modify or PDU Session Resource Setup procedures
- Security update in NGAP Path Switch Request Acknowledge with NSCI, UE Security Capabilities, or Security Indication IEs.
- Security update in NGAP UE Context Modification Request with UE Security Capabilities, or Security Key IEs.
- Start trigger is the decision to start intra-cell handover after successful execution of PDU Session Resource Modify
  or PDU Session Resource Setup procedures.
- Stop trigger for success is transmission of RRC RRCReconfiguration message over F1 interface to UE,
  indicating successful Handover Preparation procedure and attempted intra-cell handover.
- Stop trigger for failure is when timeout or preparation fails.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpProcNrHoPrepIn,3275,UE,Generated for incoming NR Handover Preparation procedure.,PROPRIETARY,,"0,1,2","NG, X2_XN, F1",,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcNrHoPrepOut,3104,UE,Generated for NR Handover Preparation procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2","NG, X2_XN, F1",,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcNrScellUpdate,3160,UE,Generated for SCell updates after initial setup procedures. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,Not verified in High-Band,USED
CuCpProcPduSessionResourceModify,3089,UE,Generated for PDU Session Modification procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcPduSessionResourceRelease,3091,UE,Generated for PDU Session Release procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcPduSessionResourceSetup,3021,UE,Generated for PDU Session Setup procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcPwsWriteReplaceWarningCmas,3122,NRCELL,Number of requested CMAS broadcasts.,PROPRIETARY,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcPwsWriteReplaceWarningEtws,3121,NRCELL,Requested ETWS Notification broadcasts.,PROPRIETARY,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcRrcEstab,3048,UE,Generated for RRC Setup procedure. Contains information about request and result.,PROPRIETARY,CCTR,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcRrcReestab,3229,UE,Generated for RRC Reestablishment procedure. Contains information about request and result. See 3GPP TS 38.331.,PROPRIETARY,CCTR,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcRrcReestabDrb,3236,UE,Used for NR Standalone to monitor RRC Reestablishment procedure and the first RRC Reconfiguration procedure after successful UE context retrieval.,PROPRIETARY,CCTR,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcRrcResume,3221,UE,Generated for RRC Resume procedure. See TS 38.331.,PROPRIETARY,CCTR,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcSnNrdcRelease,3197,UE,"Generated for Secondary Node side of NR-DC to monitor Secondary Node Release procedure. Release can be initiated
by Master Node (XnAP UE CONTEXT RELEASE or XnAP S-NODE RELEASE REQUEST) or by Secondary Node (XnAP S-NODE RELEASE REQUIRED).
Contains information about request and result.

When initiated by reception of XnAP UE CONTEXT RELEASE with no previous S-NODE RELEASE REQUEST, the trigger is
XnAP UE CONTEXT RELEASE message. No start or stop event is triggered immediately.

When initiated by reception of XnAP S-NODE RELEASE REQUEST or XnAP S-NODE RELEASE REQUIRED, start trigger is reception of XnAP S-NODE RELEASE REQUEST.
   Stop trigger in case of success:
         - Reception of E1AP BEARER CONTEXT RELEASE COMPLETE
   Stop trigger in case of failure:
         - E1AP BEARER CONTEXT RELEASE COMPLETE not received
",PROPRIETARY,,"0,1,2",X2_XN,,,,High-band,"NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcSnNrdcModification,3246,UE,"Generated for Secondary Node side of NR-DC to monitor Secondary Node Modification procedures. Modification can be initiated by one of the following nodes:
  - Master Node, with XnAP S-NODE MODIFICATION REQUEST message.
  - Secondary Node, with XnAP S-NODE MODIFICATION REQUIRED message.
  - Secondary Node, with E1AP EAB GNB CUUP HIGH RATE DRB NOTIFICATION message.
Contains information about modification type and result.

When Secondary Node Modification procedure is initiated by Master Node, following start and stop triggers exist:
   - Start trigger is reception of XnAP S-NODE MODIFICATION REQUEST
   - If procedure is successful, stop trigger is reception of XnAP S-NODE RECONFIGURATION COMPLETE message followed by one of following messages:
         - E1AP BEARER CONTEXT MODIFICATION RESPONSE message (not present in case of QoS modification)
         - F1AP UE CONTEXT MODIFICATION RESPONSE message
   If procedure is aborted, stop trigger is reception of XnAP UE CONTEXT RELEASE message.
   If procedure fails, stop trigger is one of following options:
         - Transmission of XnAP S-NODE MODIFICATION REQUEST REJECT message
         - Transmission of XnAP S-NODE RELEASE REQUIRED message
         - XnAP S-NODE RECONFIGURATION COMPLETE message not received

When Secondary Node Modification procedure is initiated by CU-UP on Secondary Node, following start and stop triggers exist::
   - Start trigger is reception of E1AP BEARER CONTEXT MODIFICATION REQUIRED message.
   - If procedure is successful, stop trigger is transmission of E1AP BEARER CONTEXT MODIFICATION CONFIRM message (Cell Group Information IE is not present).
   If procedure is aborted, stop trigger is one of following options:
         - Reception of XnAP S-NODE MODIFICATION REQUEST message
         - Reception of XnAP UE CONTEXT RELEASE message
         - Reception of XnAP S-NODE RELEASE REQUEST message, followed by transmission of E1AP BEARER CONTEXT MODIFICATION CONFIRM message (Cell Group Information IE is present)
   If procedure fails, stop trigger is one of following options:
         - Consistency check failure of E1AP BEARER CONTEXT MODIFICATION REQUIRED message
         - Reception of XnAP S-NODE MODIFICATION REFUSE message
         - Consistency check failure of XnAP S-NODE MODIFICATION CONFIRM message
         - Expiration of the GNBCUCPFunction.tXnDcOverall timer, followed by transmission of E1AP BEARER CONTEXT MODIFICATION CONFIRM message (Cell Group Information IE is present)

When Secondary Node Modification procedure is initiated by CU-UP on Secondary Node because high rate is detected, following start and stop triggers exist:
   - Start trigger is reception of E1AP EAB GNB CUUP HIGH RATE DRB NOTIFICATION message
   - If procedure is successful, stop trigger is reception of XnAP S-NODE MODIFICATION CONFIRM message
   If procedure is aborted, stop trigger is one of following options:
         - Reception of XnAP S-NODE MODIFICATION REQUEST message, followed by transmission of F1AP UE CONTEXT MODIFICATION REQUEST message (the RRCReconfigurationCompleteIndicator IE indicates failure)
           if CellGroupConfig was received in F1AP UE CONTEXT MODIFICATION RESPONSE message
         - Reception of XnAP UE CONTEXT RELEASE message
         - Reception of XnAP S-NODE RELEASE REQUEST message
   If procedure fails, stop trigger is one of following options:
         - Consistency check failure of E1AP EAB GNB CUUP HIGH RATE DRB NOTIFICATION message
         - Reception of XnAP S-NODE MODIFICATION REFUSE message
         - Expiration of GNBCUCPFunction.tXnDcOverall timer
         - Expiration of tF1 timer

When Secondary Node Modification procedure is initiated by DU on Secondary Node, following start and stop triggers exist:
   - Start trigger is reception of F1AP UE CONTEXT MODIFICATION REQUIRED message
   - If procedure is successful, stop trigger is reception of F1AP UE CONTEXT MODIFICATION RESPONSE message with RCI after XnAP S-NODE MODIFICATION CONFIRM message is received.
   If procedure is aborted, stop trigger is one of following options:
         - Reception of XnAP S-NODE MODIFICATION REQUEST message followed by transmission of F1AP UE CONTEXT MODIFICATION REQUEST message (the RRCReconfigurationCompleteIndicator IE indicates failure)
         - Reception of XnAP UE CONTEXT RELEASE message
         - Reception of XnAP S-NODE RELEASE REQUEST message
   If procedure fails, stop trigger is one of following options:
         - Consistency check failure of F1AP UE CONTEXT MODIFICATION REQUIRED message
         - Reception of XnAP S-NODE MODIFICATION REFUSE followed by transmission of F1AP UE CONTEXT MODIFICATION REQUEST (the RRCReconfigurationCompleteIndicator IE indicates failure)
         - Consistency check failure of XnAP S-NODE MODIFICATION CONFIRM message
         - Expiration of GNBCUCPFunction.tXnDcOverall timer

When Secondary Node Modification procedure is initiated by an Intra-gNodeB Inter-DU PSCell Change on Secondary Node, following start and stop triggers exist:
   - Start trigger is reception of XnAP RRC TRANSFER message which after evaluation of received A3 Measurement Report triggers Intra-gNB Inter-DU PSCell Change procedure.
   - If procedure is successful, stop trigger is reception of F1AP UE CONTEXT MODIFICATION RESPONSE message with RCI after reception of E1AP BEARER CONTEXT MODIFICATION RESPONSE
     message and reception of XnAP S-NODE MODIFICATION CONFIRM message from MgNB indicating RRCReconfigurationComplete message from UE.
   If procedure is aborted, stop trigger is one of following options:
        - Reception of XnAP S-NODE MODIFICATION REQUEST message
        - Reception of XnAP UE CONTEXT RELEASE message
        - Reception of XnAP S-NODE RELEASE REQUEST message
   If procedure fails, stop trigger is one of following options:
        - Expiration of tE1 timer
        - Reception of E1AP BEARER CONTEXT MODIFICATION FAILURE message
        - Consistency check failure of E1AP BEARER CONTEXT MODIFICATION RESPONSE message
        - Expiration of tF1 timer
        - Reception of F1AP UE CONTEXT SETUP FAILURE message
        - Consistency check failure of F1AP UE CONTEXT SETUP RESPONSE message
        - Expiration of GNBCUCPFunction.tXnDcOverall timer
        - Reception of XnAP S-NODE MODIFICATION REFUSE message
        - Consistency check failure of XnAP S-NODE MODIFICATION CONFIRM message
        - Reception of F1AP UE CONTEXT MODIFICATION FAILURE message
        - Consistency check failure of F1AP UE CONTEXT MODIFICATION RESPONSE message
",PROPRIETARY,,"0,1,2",X2_XN,,,,High-band,"NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcSnNrdcSNodeChange,3260,UE,"Generated for Secondary Node side of NR-DC to monitor Secondary Node initiated Secondary Node Change procedure.
Contains information about request and result.
Start trigger is transmission of XnAP S-NODE CHANGE REQUIRED message.
Stop trigger in case of success is receiving XnAP: S-NODE CHANGE CONFIRM message.
Following stop triggers are received if procedure is aborted:
      - XnAP S-NODE RELEASE REQUEST message
      - XnAP S-NODE MODIFICATION REQUEST message
      - XnAP UE CONTEXT RELEASE message
Following stop triggers occur at failure:
      - Receiving XnAP S-NODE CHANGE REFUSE message
      - Not receiving XnAP S-NODE CHANGE CONFIRM message
",PROPRIETARY,,"0,1,2",X2_XN,,,,High-band,"NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcSnNrdcSetup,3198,UE,"Generated for Secondary Node side of NR-DC to monitor Secondary Node Addition procedure.
Contains information about request and result.
Start trigger is reception of XnAP S-NODE ADDITION REQUEST.
Stop triggers is reception of the following messages in case of success:
      - E1AP BEARER CONTEXT MODIFICATION RESPONSE
      - F1AP UE CONTEXT MODIFICATION RESPONSE
      - XnAP S-NODE RECONFIGURATION COMPLETE
Stop triggers are the following if procedure is aborted:
      - Reception of XnAP S-NODE RELEASE REQUEST
      - Reception of XnAP UE CONTEXT RELEASE
Stop triggers are the following in case of failure:
      - Transmission of XnAP S-NODE ADDITION REQUEST REJECT
      - Transmission of XnAP S-NODE RELEASE REQUIRED
      - XnAP S-NODE RECONFIGURATION COMPLETE not received
",PROPRIETARY,,"0,1,2",X2_XN,,,,High-band,"NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcUeCapabilityEnquiry,3257,UE,Generated for RRC UE Capability Enquiry procedure.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpProcUeCtxtMod,3114,UE,Generated for UE Context Modification procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcUeCtxtRel,3055,UE,Generated for UE Context Release procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcX2MnInitiatedSgnbModification,3105,UE,Generated for Master Node Initiated Secondary gNodeB Modification procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcX2SgnbAdditionPreparation,3065,UE,Generated for Secondary gNodeB Addition Preparation procedure. Contains information about request and result.,PROPRIETARY,,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcX2SgnbChange,3066,UE,Generated for Secondary gNodeB Change procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcX2SnInitiatedSgnbModification,3053,UE,Generated for Secondary Node Initiated Secondary gNodeB Modification procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcXnRetrieveUeCtxt,3237,UE,Used for NR Standalone to monitor 3GPP Retrieve UE Context procedure. See 3GPP TS 38.423 XnAP Retrieve UE Context procedure.,PROPRIETARY,,"0,1,2",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpPwsCancelRequest,3148,NRCELL,PWS CANCEL REQUEST message. Monitors PWS Cancel Request procedure for each cell. See 3GPP TS 38.413.,PROPRIETARY,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpPwsCancelResponse,3149,NRCELL,PWS CANCEL RESPONSE message. Monitors PWS Cancel Response procedure for each cell. See 3GPP TS 38.413.,PROPRIETARY,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpPwsFailureReport,3150,CUCP,"PWS FAILURE INDICATION message. Includes impacted broadcast area, targeted AMFs, and failure type. See 3GPP TS 38.413.",PROPRIETARY,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpPwsRestartReport,3151,CUCP,"PWS RESTART INDICATION message. Includes impacted broadcast area, targeted AMFs, and restart type. See 3GPP TS 38.413.",PROPRIETARY,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpRohcSetup,3247,UE,Generated when Robust Header Compression is configured for a DRB. Contains information about ROHC configuration result.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012592, LicenseMoId: NrRobustHeaderComprForVoice, LicenseName: NR Robust Header Compression for Voice",,USED
CuCpRrcDlInformationTransfer,3041,UE,DLInformationTransfer sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcInitAccessFail,3233,UE,"Event for failure in initial stages of RRCSetupRequest, RRCResumeRequest, and RRCReestablishmentRequest messages. Failure can have the following causes:
- Message not permitted because of load control.
- Message not permitted because of admission control.
",PROPRIETARY,CCTR,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,Not verified,PRELIMINARY
CuCpRrcMeasurementReport,3005,UE,MeasurementReport received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpRrcMobilityFromNrCommand,3161,UE,MobilityFromNRCommand sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpRrcReconfiguration,3019,UE,RRCReconfiguration sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcReconfigurationComplete,3020,UE,RRCReconfigurationComplete received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcReestablishment,3226,UE,RRCReestablishment message sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpRrcReestablishmentComplete,3227,UE,RRCReestablishmentComplete message received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpRrcReestablishmentRequest,3228,UE,RRCReestablishmentRequest message received. See 3GPP TS 38.331.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpRrcReject,3043,UE,RRCReject sent. See 3GPP TS 38.331.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcRelease,3044,UE,RRCRelease sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcResume,3223,UE,RRCResume message sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012550, LicenseMoId: RrcInactiveState, LicenseName: RRC Inactive State",,USED
CuCpRrcResumeComplete,3222,UE,RRCResumeComplete message. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012550, LicenseMoId: RrcInactiveState, LicenseName: RRC Inactive State",,USED
CuCpRrcResumeRequest,3225,UE,RRCResumeRequest message. See 3GPP TS 38.331.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpRrcScgFailureInformation,3199,UE,RRC SCGFailureInformation message received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpRrcSecurityModeCommand,3016,UE,SecurityModeCommand sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcSecurityModeComplete,3017,UE,SecurityModeComplete received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcSecurityModeFailure,3018,UE,SecurityModeFailure received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcSetup,3045,UE,RRCSetup sent. See 3GPP TS 38.331.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcSetupComplete,3046,UE,RRCSetupComplete received. See 3GPP TS 38.331.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcSetupRequest,3047,UE,RRCSetupRequest received. See 3GPP TS 38.331.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcUeAssistanceInformation,3286,UE,RRC UEAssistanceInformation received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpRrcUeCapabilityEnquiry,3039,UE,UECapabilityEnquiry sent. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcUeCapabilityInformation,3040,UE,UECapabilityInformation received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcUlDedicatedMessageSegment,3258,UE,ULDedicatedMessageSegment message received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band",NR SA,,Status Preliminary,PRELIMINARY
CuCpRrcUlInformationTransfer,3042,UE,ULInformationTransfer received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpRrcUlInformationTransferMrdc,3263,UE,ULInformationTransferMRDC message received. See 3GPP TS 38.331.,STANDARDIZED,,"0,2,3,5",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpRwrMobilityDecision,3004,UE,Generated when a UE is Released with Redirection to another carrier.,PROPRIETARY,,"1,2",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpTnlaNgConnState,3301,CUCP,Signals that the state of one or more NG-C TNL Associations was changed.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpUeAssistanceInformation,3347,UE,RRC UEAssistanceInformation received. See 3GPP TS 38.331.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012741, LicenseMoId: NrUeAssistedRrcStatePreference, LicenseName: UE Assistance Information Based RRC State Preference",Status Preliminary,PRELIMINARY
CuCpUeCapabilityRefreshDecision,3352,UE,Generated at UE capabilities refresh.,PROPRIETARY,,"1,2",UU,24.Q4,Planned to be removed.,,"Low-band, Mid-band, High-band",NR SA,,Deprecated and Obsolete,DEPRECATED
CuCpUlAwareMlcActivation,3382,CUCP,Indicates Uplink-Aware Advanced Multi-Layer Coordination feature is activated in node.,PROPRIETARY,,,,,,,"Low-band, Mid-band",NR SA,,Status Preliminary,PRELIMINARY
CuCpUlAwareMlcDeactivation,3383,CUCP,Indicates Uplink-Aware Advanced Multi-Layer Coordination feature is deactivated in node.,PROPRIETARY,,,,,,,"Low-band, Mid-band",NR SA,,Status Preliminary,PRELIMINARY
CuCpUlMeasurementReportSaEval,3358,UE,Reception of uplink quality measurement report in NR standalone.,PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpUlQualityBasedOnSourceDlRsrp,3365,UE,Evaluation of uplink quality based on RSRP value received for source cell in NR standalone deployments. Event is generated at reception of A5 and B2 measurement reports that belong to uplink Search Zone.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpUlRrcSegmentationEval,3259,UE,Used to monitor UL Dedicated Message assembling,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpUnifiedAccessControl,3332,NRCELL,Monitors UAC algorithm. Trigerred every UAC cycle (2 seconds) if calculated barring probability for corresponding barring group is greater than or equal to 1%.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpX2ConnRelease,3203,CUCP,Release of X2 connection to an eNodeB.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2DeactivateTrace,3108,UE,DEACTIVATE TRACE received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,NR SA not supported.,USED
CuCpX2EndcConfigurationTransfer,3106,CUCP,EN-DC CONFIGURATION TRANSFER sent or received. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2EndcConfigurationUpdate,3057,CUCP,EN-DC CONFIGURATION UPDATE sent or received. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2EndcConfigurationUpdateAcknowledge,3058,CUCP,EN-DC CONFIGURATION UPDATE ACKNOWLEDGE sent. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2EndcConfigurationUpdateFailure,3059,CUCP,EN-DC CONFIGURATION UPDATE FAILURE sent. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2EndcResourceStatusFailure,3341,CUCP,Standardized PM event to observe X2 EN-DC Resource Status Failure message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",EN-DC,,,USED
CuCpX2EndcResourceStatusRequest,3339,CUCP,Standardized PM event to observe X2 EN-DC Resource Status Request message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",EN-DC,,,USED
CuCpX2EndcResourceStatusResponse,3340,CUCP,Standardized PM event to observe X2 EN-DC Resource Status Response message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",EN-DC,,,USED
CuCpX2EndcResourceStatusUpdate,3342,CUCP,Standardized PM event to observe X2 EN-DC Resource Status Update message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",EN-DC,,,USED
CuCpX2EndcX2SetupFailure,3060,CUCP,EN-DC X2 SETUP FAILURE sent or received. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2EndcX2SetupRequest,3061,CUCP,EN-DC X2 SETUP REQUEST sent or received. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2EndcX2SetupResponse,3062,CUCP,EN-DC X2 SETUP RESPONSE sent or received. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2ErrorIndicationCommon,3348,CUCP,Common X2AP ERROR INDICATION message sent or received. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",EN-DC,,,USED
